Group,A5L,A14L,A26L,A27L,V.A27L,A29L,A33R,V.A33R,A35R,A36R,A44R,A5L-A11L,B2R,B5R,V.B5,B6R,C15L,C18L,C19L,D13L,D14L,E8L,F3L,H3L,I1L,L1R,L4R,M1R,Pool
MPX22,0.2332,0.1165,0.0458,0.4122,1.102,0.2369,0.0483,0.9597,1.4921,0.027,0.0989,,1.756,0.047,1.1049,1.5604,,,0.0482,0.0405,1.3544,0.4265,,0.4146,0.0419,0.0237,0.0079,0.1172,2.6694
Pre,0.0176,0.0091,0,0,0.0187,0.0091,0.0406,0.0145,0,0.038,0,,0,0.049,0,0,0.6848,0.024,0.0109,0.0242,0,0,0.0045,0.0468,0,0.0223,0.0023,0.0144,0
Pre,0,0,0,0.0133,0.0189,0.038,0,0,0,0,0.0908,,0,0.077,0,0,0.502,0.0634,0,0.0479,0,0.0963,0.0436,0.0037,-0.0052,0.0654,0,0.015,0
Pre,0,0,0,0.1342,0.0035,0.0026,0.0159,0.0163,0,0.024,0.0125,,0,0.057,0,0,0.325,0.0391,0.0166,0.0289,0,0,0.0357,0,0.0169,0,0.0018,0.0277,0
Pre,0,0.1602,0,0,0.0582,0,0.0151,0.0147,0,0.03,0,,0,0.096,0,0,0.9586,0.0345,0.043,0,0,0,0.0592,0,0.011,0,0,0.0221,0
Pre,0.0195,0.0639,0.0096,0.0203,0.2394,0.051,0.0451,0.0235,0.0086,0.03,0.0243,,0.0484,0.09,0.0468,0.0865,0.5752,0.0247,0.0625,0.0476,0.0031,0.0104,0.0347,0.0065,0.0042,0.0343,0.0053,0.0097,0.0917
Pre,0,0.0224,0.0897,0.0562,0.0443,0.1296,0.0267,0.0007,0,0.074,0.051,,0,0.162,0,0,1.4557,0.2256,0.0214,0,0,0.0731,0.1056,0.438,0.1338,0,0,0.0049,0
Pre,0,0.0693,0,0.1344,0,0.0495,0.0192,0.0197,0,0.034,0.0739,,0,0.093,0,0,0.7664,0.1692,0.0359,0.0243,0,0.0237,0.0284,0,0.1168,0,0,0.0214,0
Pre,0.0593,0.0963,0.0895,0.1052,0.0069,0.1425,0.0516,0.0002,0.022,0.055,0.0906,,0.0462,0.094,0.02,0.0127,0.603,0.0902,0.0979,0.095,0,0.0762,0.0088,0.0889,0.0569,0.1367,0.0789,0,0
Pre,0,0,0,0.008,0,0.0963,0.0373,0.0413,0,0,0.085,,0,0.15,0,0,0.6102,0.1945,0.0081,0,0,0.0365,0.0238,0.0868,0.0768,0.0674,0,0.0226,0
Pre,0,0.0285,0.0474,0.1666,0,0.1845,0.2402,0.0021,0.0313,0.016,0.1865,,0.0308,0.756,0.0006,0,2.2394,0.1591,0.0847,0.1771,0.0103,0.1075,0.0668,0.0451,0.0251,0.0514,0.1034,0.0432,0
Pre,0.0266,0.0306,0,0.0713,0.2381,0.1067,0.0687,0,0,0,0.1767,,0,0.059,0.0121,0,0.5843,0.1689,0,0.0169,0,0.0299,0.0517,0.1304,0,0.0567,0.1217,0,0
Pre,0,0,0,0,0,0,0.0282,0.001,0,0.021,0,,0,0.249,0,0,0.7812,0.1835,0,0.0305,0,0,0.0777,0.0331,0,0,0,0,0
Pre,0,0,0.0081,0,0,0,0,0,0,0,0.0349,,0.0418,0.225,0,0,0.3161,0.1518,0,0,0,0,0.0592,0,0.032,0,0.0085,0.0429,0
ACAM,0.0715,0.1166,0.07,0.5222,0.5098,0.3068,0.0146,1.2332,0.4808,0.068,0.0035,,1.8578,0.1,0.8798,0.7871,0.8834,0.1756,0.1087,0.1019,0.6077,0.0719,0.0486,0.1305,0.0278,0.0246,0.0036,0.0805,1.9671
ACAM,0,0,0,0.2716,0.6697,0.3851,0,1.493,0.2618,0.044,0,,1.078,0.075,0.7465,0.7446,0.5014,0.1076,0,0,0.3065,0,0.0376,0,0.0283,0,0,0.0312,1.6939
MVA,0.3765,0.1701,0.1506,0.1547,1.1313,0.9789,0.186,2.7932,2.2551,0.115,0.2233,,1.9682,0.205,2.467,2.469,0.7956,0.3216,0.1221,0.1021,0.7805,1.1676,0.0093,0.9193,0.0891,0.0648,0.1486,0.5817,2.5265
MVA,0,0,0,0,0.8317,0.4433,0.0033,2.1778,1.4322,0.093,0,,0.8826,0.238,1.7226,1.8769,0.7866,0.094,0,0,0.183,0.5453,0.0513,0.6601,0.1354,0,0,0.6612,2.3677
MVA,0.0214,0.0208,0.1022,0.1976,0.3436,0.245,0,0.4452,0.1037,0.044,0,,0.0123,0.146,0.1979,0.1062,0.7724,0.0866,0.0561,0.1161,0.0084,0.1308,0.3896,0.152,0.024,0,0,0.2418,0.4611
MVA,0.0175,0.1213,0,0.0794,0.7488,0.1423,0.0214,1.2092,1.0492,0.102,0.1344,,0.2557,0.206,0.284,0.495,0.9718,0.1727,0,0.1018,0,0.043,0.1732,0.2386,0.0657,0.017,0.0365,0.0745,1.1725
MVA,0.5612,0.0788,0.0458,0.2495,0.5883,0.2288,0,2.8888,2.3284,0.06,0.0893,,0.9838,0.075,2.1159,1.8992,0.7068,1.1013,0,0.023,0,0.6506,0.1198,1.022,0.0737,0,0,0.4279,2.2178
ACAM,0.024,0.0455,0.0668,0.1173,0.2446,0.0856,0.0141,0.2068,0.0805,0.022,0.0345,,0.3403,0.038,0.2232,0.2077,0.7085,0.0606,0.0879,0.1187,0.2075,0.103,0.0688,0.1417,0.0208,0.0517,0.024,0.0396,0.4241
ACAM,0,0,0,0,1.0537,0.5792,0,1.5776,0.658,0.031,0,,1.2959,0.095,0.356,0.1989,0.5311,0.0914,0,0,0.1816,0.073,0.0124,0,0.0863,0,0,0.2255,1.4838
ACAM,0.1364,0.0556,0.0202,0.1953,2.4402,1.797,0.0132,0.7122,0.284,0.061,0.0323,,0.6742,0.061,0.2929,0.2036,0.4014,0.0211,0.0234,0.0309,0.201,0.0673,0.0082,0.0127,0.0174,0.0129,0,0.0267,1.392
ACAM,0.0363,0.291,0.0314,1.5691,0.6482,0.4886,0.0212,1.9623,1.1193,0.032,0.1059,,1.7206,0.068,2.7035,2.4806,0.9949,0.0201,0.0476,0.042,2.779,0.6214,0.0443,0.9784,0.0249,0.0351,0.0016,0.2545,2.2103
ACAM,0,0.2267,0,0.4922,2.6638,2.0757,0.0207,0.0001,0.6658,0.01,0,,1.5549,0.044,0.5658,0.5488,0.5251,0.0104,0.0312,0.0225,0.2851,0.0151,0.3104,0.0088,0.0215,0.0002,0,0.081,2.0511
