Group,A5L,A14L,A26L,A27L,V.A27L,A29L,A33R,V.A33R,A35R,A36R,A44R,A5L-A11L,B2R,B5R,V.B5,B6R,C15L,C18L,C19L,D13L,D14L,E8L,F3L,H3L,I1L,L1R,L4R,M1R,Pool
PD2.2,0.3294,0.062,0,0.1746,0.1841,0.0314,0.0976,0.6567,0.0496,0.06,0.0205,0.0059,1.4806,0.363,1.0279,0.6697,0.834,0.0487,0,0.052,0.043,1.1832,0.0227,0.0091,0,0,0.1308,0.1467,2.8364
PD2.2,0,0,0,0,0.0392,0,0.0422,2.4107,0.6743,0.078,0,,1.4358,0.176,2.4818,1.4931,0.5866,0.0603,0.0754,0.0027,0,0.3333,0.0056,0,0,0,0,0.8551,2.6869
PD2.3,0.0488,0.063,0.0289,0,0.0616,0.0042,0.0855,0.8679,0.2749,0.107,0.0498,,0.9812,0.245,0.7084,0.5704,0,1.245,0.0848,0.0281,0,0.2116,0.02,0,0.0084,0.0044,0,0.0346,1.5969
PD2.3,0.0503,0.0428,0,0.1955,0.0149,0.0121,0.126,0.4409,0.0286,0.056,0.0041,,1.4624,0.409,0.868,0.4748,0.005,1.091,0.0556,0.0492,0,0.3023,0.003,0,0,0,0,0.1393,1.9617
PD2.3,0.0096,0.0456,0.0397,0.0548,0.0021,0.0704,0.102,0.4426,0.4026,0.163,0.0634,,1.1515,0.137,0.6668,0.361,,,0.1407,0.0504,0.0094,0.1999,,0.0575,0,0.031,0.0375,0.3722,1.6189
PD2.3,0,0.0516,0,0.0041,0.1524,0.0338,0,0.8279,0.1359,0.439,0.0664,,0.3913,0.208,0.17,0.1258,0.6248,0.03,0.0673,0.0181,0,0.0918,0.0447,0.2799,0,0.0121,0.0236,0.1192,0.6749
PD2.3,0,0.0317,0.0046,0.0233,0.0846,0.1001,0.0567,0.906,0.652,0.598,0.0175,,0.8766,0.088,2.7119,2.5321,,,0.0726,0.0132,0,0.7851,,0.1144,0,0.0113,0.0243,0.4199,2.9637
PD2.3,0,0.0385,0,0,0,0,0.0516,0.1071,0.0316,0.097,0.0271,,0.1875,0.162,0.557,0.421,0.7184,0.0424,0.0702,0,0,0,0.0453,0,0,0,0.0118,0.0096,0.9168
PD2.3,0,0.0003,0,0.0016,0.0067,0.0233,0.1481,0.5906,0.2947,0.094,0,,0.3504,0.07,2.4895,2.2916,,,0.0412,0.0179,0.0446,0.98,,0.0039,0,0,0,0.5242,3.0863
PD2.3,0.1083,0.0013,0.0437,0.0936,0,0.0976,0.059,0,0,0.046,0.0287,,0.1175,0.121,0.2158,0.1409,0.8695,0.0298,0.0505,0.0936,0.0182,0.1166,0.0169,0.0403,0,0.0485,0,0,0.553
